symbol,ai_threshold,confidence_threshold,position_size,sl_multiplier,tp_multiplier,total_trades,win_rate,roi,sharpe_ratio,profit_factor,max_drawdown,final_balance
ETH/USDT,3,7,0.15,2.0,3.0,61,42.62295081967213,1.752727875140124,0.9724548514425275,1.1558117380366708,-57.2865520872232,1017.5272787514012
ETH/USDT,2,7,0.15,2.0,3.0,61,42.62295081967213,1.752727875140124,0.9724548514425275,1.1558117380366708,-57.2865520872232,1017.5272787514012
ETH/USDT,3,7,0.15,2.0,4.0,60,43.333333333333336,1.5226864259778041,0.8453744023255118,1.138755926618971,-52.77346220461892,1015.226864259778
ETH/USDT,2,7,0.15,2.0,4.0,60,43.333333333333336,1.5226864259778041,0.8453744023255118,1.138755926618971,-52.77346220461892,1015.226864259778
ETH/USDT,3,7,0.1,2.0,3.0,61,42.62295081967213,1.2114953249850828,1.0116061776269634,1.1628722095318706,-37.8443364191332,1012.1149532498508
ETH/USDT,2,7,0.1,2.0,3.0,61,42.62295081967213,1.2114953249850828,1.0116061776269634,1.1628722095318706,-37.8443364191332,1012.1149532498508
ETH/USDT,2,7,0.1,2.0,4.0,60,43.333333333333336,1.0533752893820179,0.8791398890109376,1.1449041365129355,-34.92593975870503,1010.5337528938202
ETH/USDT,3,7,0.1,2.0,4.0,60,43.333333333333336,1.0533752893820179,0.8791398890109376,1.1449041365129355,-34.92593975870503,1010.5337528938202
ETH/USDT,3,7,0.15,2.0,5.0,58,44.827586206896555,0.7694588977275657,0.4250035868536151,1.0761630796433008,-51.95942653409824,1007.6945889772757
ETH/USDT,2,7,0.15,2.0,5.0,58,44.827586206896555,0.7694588977275657,0.4250035868536151,1.0761630796433008,-51.95942653409824,1007.6945889772757
ETH/USDT,3,7,0.15,2.5,3.0,61,42.62295081967213,0.755874760280119,0.4055383579951251,1.0620432118608092,-66.99748986100258,1007.5587476028012
ETH/USDT,2,7,0.15,2.5,3.0,61,42.62295081967213,0.755874760280119,0.4055383579951251,1.0620432118608092,-66.99748986100258,1007.5587476028012
ETH/USDT,2,7,0.15,3.0,3.0,61,42.62295081967213,0.7503790055534637,0.4017669582810756,1.061587900114773,-67.96195268579031,1007.5037900555346
ETH/USDT,3,7,0.15,3.0,3.0,61,42.62295081967213,0.7503790055534637,0.4017669582810756,1.061587900114773,-67.96195268579031,1007.5037900555346
ETH/USDT,3,7,0.05,2.0,3.0,61,42.62295081967213,0.6271889764252933,1.051019427702484,1.1700526967616045,-18.748045372275474,1006.2718897642529
ETH/USDT,2,7,0.05,2.0,3.0,61,42.62295081967213,0.6271889764252933,1.051019427702484,1.1700526967616045,-18.748045372275474,1006.2718897642529
ETH/USDT,2,7,0.1,2.0,5.0,58,44.827586206896555,0.5651039795161523,0.46645806208444685,1.0841742049174492,-34.57443554041602,1005.6510397951615
ETH/USDT,3,7,0.1,2.0,5.0,58,44.827586206896555,0.5651039795161523,0.46645806208444685,1.0841742049174492,-34.57443554041602,1005.6510397951615
ETH/USDT,3,7,0.1,2.5,3.0,61,42.62295081967213,0.5547546281421887,0.447302098925303,1.0687658976641052,-44.29655381072846,1005.5475462814219
